,gen,nevals,max,avg,min,std
232,22,100,[65.58249519  2.        ],[44.94642233  0.77      ],[18.29142551  0.        ],[7.72895639 0.44395946]
233,23,100,[62.27255993  1.        ],[44.43164205  0.79      ],[21.3916172  0.       ],[7.13885517 0.40730824]
234,24,100,[60.34989177  1.        ],[44.97448564  0.73      ],[30.33615701  0.        ],[6.36620613 0.44395946]
235,25,100,[62.96967954  1.        ],[45.91480719  0.82      ],[27.09513364  0.        ],[6.96791765 0.38418745]
236,26,100,[62.93507284  1.        ],[45.92502259  0.75      ],[30.11757511  0.        ],[6.43475385 0.4330127 ]
237,27,100,[61.54215029  1.        ],[46.94062478  0.84      ],[36.25338661  0.        ],[5.10938659 0.36660606]
238,28,100,[67.41818249  2.        ],[46.72811542  0.86      ],[30.16944352  0.        ],[6.76682613 0.37469988]
239,29,100,[67.14124751  2.        ],[46.302685  0.71    ],[30.37417336  0.        ],[6.46235615 0.47528939]
240,0,100,[59.57765197  1.        ],[50.21379414  1.        ],[32.3409943  1.       ],[2.78620529 0.        ]
241,1,100,[62.97942034  1.        ],[45.00201372  0.98      ],[7.17043453 0.        ],[9.99386395 0.14      ]
242,2,100,[62.66942328  1.        ],[48.09145163  1.        ],[31.96049792  1.        ],[6.22594206 0.        ]
